Anguilla,15003,99,0,49,17
Antigua & Barbuda,97929,1231,32,35,1170
Bahamas,393244,10733,212,840,9781
Barbados,287375,3946,45,4,3861
Belize,397628,12700,323,63,12303
Bermuda,62278,2434,30,17,3095
British Virgin Islands,30231,216,1,3,191
Cayman Islands,65722,548,2,9,537
Dominica,71986,175,0,0,175
Grenada,112523,161,1,0,158
Guyana,786552,14442,327,80,12267
Haiti,11402528,13164,263,63,12154
Jamaica,2961167,46708,806,39,22268
Montserrat,4992,20,1,0,19
St. Lucia,183627,4690,75,154,4521
St Kitts & Nevis,53199,45,0,0,44
St. Vincent & The Grenadines,110940,1922,12,169,1741
Suriname,586632,11112,215,1164,9778
Trinidad & Tobago,1399488,13454,215,99,9381
Turks & Caicos Islands,38717,2402,17,27,2358
